CRED_LVL,ENT_CNT,RATIO,TM,ONLY_IDX,RCD_TM,DATA_STAT_VAL,USCC,RCD_UPDATE_TM,CLLT_PKG_NAME
E,620,0.27,2022-11-07 00:00:00,6CFB80225543B31129A0A07128EAF7F6,,,,,
A,87632,39.45,2022-11-06 00:00:00,A0FB80225543B311968F6E0AF56BECDD,,,,,
B,52405,29.09,2022-11-06 00:00:00,A5FB80225543B311A292574E0009F7BF,,,,,
F,24025,11.71,2022-11-17 00:00:00,ACFB80225543B3118F95CDBA58A8775D,,,,,
C,44962,22.89,2022-11-18 00:00:00,B1FB80225543B311E0B0FF146B627ABF,,,,,
B,55186.4,27.37,2022-10-08 00:00:00,B6FB80225543B31174BA1BEEAF643FAF,,,,,
C,48677,22.11,2022-10-13 00:00:00,BBFB80225543B311479D69DED25FB1D7,,,,,
E,15,0.01,2022-10-17 00:00:00,C0FB80225543B3117B86F1A2A4A6FE7F,,,,,
D,20485,110.26,2022-10-20 00:00:00,C4FB80225543B311919484CA2864FDB5,,,,,
A,75474,37.77,2022-10-11 00:00:00,C8FB80225543B311F294F96994675FD9,,,,,
C,44429,22.53,2022-09-08 00:00:00,CDFB80225543B31150B86467E04D9D7B,,,,,
B,53097,26.56,2022-09-22 00:00:00,D1FB80225543B31131A2CBC912133DF6,,,,,
A,67627,36.55,2022-09-23 00:00:00,D6FB80225543B311CB9EAB773F99FD75,,,,,
D,21680,11.56,2022-09-14 00:00:00,DFFB80225543B311C6A592030D83FEFD,,,,,
E,16,0.01,2022-09-20 00:00:00,E4FB80225543B311FBA19FC57668F4EB,,,,,
